korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
박윤서,Yoon Seo Park,200203,전북대학교 경영학과,1989,,,,,,2000,,,,https://business.jbnu.ac.kr/business/10553/subview.do?enc=Zm5jdDF8QEB8JTJGamJudVByb2ZsJTJGYnVzaW5lc3MlMkYyMjQlMkYxNTI4JTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZmaW5kVHlwZSUzRCUyNmZpbmRXb3JkJTNEJTI2,,
박은희,Eun-Hee Park,201403,강원대학교 AI소프트웨어학과,,2001,2009,이창옥,,41909,2009,144929,863657,,https://cms.kangwon.ac.kr/aisw/professor/professor.do?mode=view&key=$cms$IwisBYg,A dual iterative substructuring method with a penalty term,
박의성,Euisung Park,,고려대학교 수학과,,1998,2004,곽시종,,,2004,107548,760202,,https://math.korea.edu/math_en/people/faculty.do?mode=view&articleNo=73470&article.offset=0&articleLimit=200,On Higher Syzygies of Complete and Noncomplete Embedding of Projective Algebraic Varieties,
박재혁,Jae-Hyuck Park,202309,New Jersey Institute of Technology (미국),2006,,,,,,2021,,,,https://sites.google.com/view/jae-hyuck/,,
박종태,Jong-Tae Park,,평택대학교 데이터정보학과,,1986,1993,김병천,,41763,1993,,,,https://www.ptu.ac.kr/www/592/subview.do?enc=Zm5jdDF8QEB8JTJGbGlua3Byb2YlMkZ3d3clMkY4JTJGMTE5OTYwMDIlMkZhcnRjbFZpZXcuZG8lM0Y=,The projection matrix of the linear models using eigenvectors,
박준하,Joonha Park,202406,캔자스대학교 수학과 (미국),,2010,,,,,2020,,1401044,W3uZ24AAAAAJ,https://math.ku.edu/people/joonha-park-0,,
박진수,Jinsu Park,202203,충북대학교 정보통계학과,2006,2010,2020,정연승,,284353,2020,,1404405,,https://stat.chungbuk.ac.kr/?pg_idx=126,Nonparametric Bayesian functional two-part random effects model for analyzing longitudinal data with zero inflation,
박진현,Jinhyun Park,200901,KAIST 수리과학과,1995,,,,,,2006,101098,619635,,https://mathsci.kaist.ac.kr/~jinhyun/,Infinitesimal and Cyclic Aspects of Motives,
박진형,Jinhyung Park,202203,KAIST 수리과학과,2002,2007,2014,곽시종,,197746,2014,193725,961278,d6AYKw8AAAAJ,https://sites.google.com/site/parkjh13/,Cox rings of rational surfaces and applications of double point divisors,
박진호,Jinho Park,201303,숭실대학교 글로벌미디어학부,1994,1999,,,,,2007,,,BAK1ALoAAAAJ,http://media.ssu.ac.kr/sub.php?code=N2737Md,,
박철근,Chul Geun Park,199703,선문대학교 스마트정보통신공학과 [명예교수],,1984,1995,최봉대,,41775,1995,,,,https://information.sunmoon.ac.kr/information/ad/pp/profsrintrcnPage.do?mi=40536,Queueing systems for input traffic control schemes in ATM networks,
박한철,Hanchul Park,201809,제주대학교 수학교육과,1998,2002,2010,김진홍,,41943,2010,,926150,_dZ6T-gAAAAJ,https://mathedu.jejunu.ac.kr/mathedu/professor/professorinfo.htm,Khovanov homology and its Torsion,
백진호,Jinho Baik,2002,University of Michigan 수학과  (미국),1991,,,,,,1999,33658,646186,yP5OPFUAAAAJ,https://sites.lsa.umich.edu/baik/,Riemann-Hilbert Problems and Random Permutations,
백형렬,Hyungryul Baik,201702,KAIST 수리과학과,2003,,,,,,2014,184160,1033130,rzb0QJcAAAAJ,https://sites.google.com/site/hrbaik85/,Laminations on the Circle and Hyperbolic Geometry,
서병기,Byoung Ki Seo,201208,UNIST 경영과학부,1993,1997,2004,최건호,,41871,2004,194123,684369,1b90HOcAAAAJ,https://research.unist.ac.kr/post-research/bkseo/,Recurrence of multiples of irrational numbers modulo 1,
서성원,Sung Won Seo,201909,건국대학교 경영대학,2002,,,,,,2014,,,,https://sites.google.com/site/swseo2013,,
서승현,Seunghyun Seo,2008,강원대학교 수학교육과,,1996,2004,김동수,,41870,2004,125702,685264,KE5WeIkAAAAJ,https://sites.google.com/view/shyunseo,Combinatorics on minimal transitive factorizations of permutations,
서홍석,Hong-Suk Seo,201710,서울외국어대학원대학교 국제교양학과,,1988,,,,,2001,,,,http://abi.sufs.ac.kr/people/p_1.php,,
서효원,Hyowon Seo,202203,군산대학교 수학과,,2010,2018,김용정,,264937,2018,,1387462,jujt-scAAAAJ,https://www.kunsan.ac.kr/math/index.kunsan?menuCd=DOM_000007102001003000,Diffusion in the heterogeneous environments,
석상익,Sang-ik Seok,202103,울산대학교 경영학부,2007,,,,,,2019,,,WV-R0d8AAAAJ,https://sites.google.com/view/sangikseok,,
선우하식,Hasik Sunwoo,,건국대학교 컴퓨터공학과,,1984,1990,김병천,,41758,1990,,244501,,https://cyan.kku.ac.kr/~sunwoo/,Efficient computational algorithms for analysis of linear models using the M-P inverse,
성수학,Soo Hak Sung,,배재대학교 전기공학과,,1983,1988,최봉대,,41755,1988,,229224,,https://hakgwa.pcu.ac.kr/aiee/90/professor/25401600/594,On the laws of large numbers and moments of supremum of normed sums,
송경우,Kyungwoo Song,202303,연세대학교 응용통계학과,2010,,,,,,2021,,,HWxRii4AAAAJ,https://mlai.yonsei.ac.kr/team,,
송병철,Byung Chul Song,,강릉원주대 수학물리학부 수학전공,,1985,1991,권길헌,,41762,1991,,260190,,https://math.gwnu.ac.kr/math/4052/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZmwlMkZtYXRoJTJGMTYyJTJGMjI5JTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2c3JjaFdyZCUzRCUyNg==,Study of overdetermined system of complex vector fields,
송재희,Jaehee Song,202206,"University of Colorado Boulder, Leeds School of Business (미국)",2011,,,,,,2022,,1237205,,https://www.jaeheesong.com/,,
송종백,Jongbaek Song,202303,부산대학교 수학교육과,,2008,2017,서동엽,,241909,2017,245214,1235353,,https://sites.google.com/site/jongbaeksong/,The integral cohomology ring of toric orbifolds,
신동화,Dong Hwa Shin,201203,한국외국어대학교 수학과,1998,2004,2010,구자경,,41932,2010,179417,884923,,http://builder.hufs.ac.kr/user/indexSub.action?codyMenuSeq=124320384&siteId=math2&menuType=T&uId=1&sortChar=A&menuFrame=left&linkUrl=1_2.html&mainFrame=right,Arithmetic properties of Siegel functions and applications,
신민석,Minseok Shin,202409,포스텍 산업경영공학과,2013,,,,,,,,,,,,
신수진,Sujin Shin,200203,KAIST 수리과학과,1987,,,,,,1999,35157,682689,,,Measures that maximize weighted entropy for factor maps between subshifts of finite type,1
신승훈,Sean Seunghun Shin,202408,KAIST 경영공학부,2006,,,,,,2017,,,owKeLcEAAAAJ,https://sites.google.com/view/s-shin/,,
신양우,Yang Woo Shin,,창원대학교 통계학과,,1984,1991,최봉대,,41760,1991,,320024,,https://www.changwon.ac.kr/stat/stf/stfView/staffView.do?rolecd=TSAL&staffTy=EXCP&mi=5558,Transient diffusion approximation for the G/G/m queueing systems,
신용현,Yong Hyun Shin,201409,숙명여자대학교 수학과,,2000,2007,최우진,구형건,41889,2007,143361,817466,KRQOCdoAAAAJ,https://sites.google.com/site/yonghyunshin1972/,"Optimal portfolio, consumption-leisure and retirement choice problem",
신정우,Jungwoo Shin,201609,경희대학교 산업경영공학과,2002,,,,,,2012,,,hEHWNiIAAAAJ,https://www.tmlabkyunghee.com/about-me,,
신희성,Heesung Shin,201103,인하대학교 수학과,1996,1999,2007,김동수,,41898,2007,125703,746276,5Jk18IAAAAJ,http://hshin.info/,A refinement of numbers for trees and parking functions,
안병희,Byung Hee An,202003,경북대학교 수학교육과,1997,2001,2010,고기형,,41937,2010,145736,914644,qsTIuOgAAAAJ,https://geometry.knu.ac.kr/~anbyhee/,A family of representations of braid groups on surfaces,
안성준,Sung Jun An,202010,제주한라대학교 지능형시스템공학과,,2002,2010,김성호,길이만,41935,2010,,,8cz7gA4AAAAJ,https://www.halla.page/p/blog-page_1.html,"Zero-crossing-based sound source localization, segregation and recognition",
안영준,Young Joon Ahn,,조선대학교 수학교육과,,1992,1998,김홍오,,41802,1998,,621937,,http://ahn.chosun.ac.kr/partition.html,Approximations of planar curves by quadratic rational B-splines,
안영호,Young-Ho Ahn,,목포대학교 수학교육과,,1992,2000,최건호,,41819,2000,143511,632820,,https://mmed.mokpo.ac.kr/mmed/2739/subview.do,Skew products arising from ergodic transformations,
안재현,Jaehyun Ahn,,충남대학교 수학과,1991,1995,2003,배성한,,41860,2003,64047,697105,,https://math.cnu.ac.kr/math/people/faculty01.do?mode=view&key=LZStrEwBhBYEYxA2I&siteId=math,Cyclotomic units and stickelberger ideals over global function fields,
양성덕,Seong-Deog Yang,,고려대학교 수학과,1986,,,,,,1997,69337,673171,,https://mathematicians.korea.ac.kr/sdyang/,On a Connected Sum Construction for Complete Minimal Surfaces of Finite Total curvature,
엄상일,Sang-il Oum,202408,IBS 이산수학그룹,1994,,,,,,2005,92455,765385,EsMssA0AAAAJ,https://dimag.ibs.re.kr/home/sangil/,Graphs of Bounded Rank-Width,
엄익선,Ick Sun Eum,201609,동국대학교 수학교육과,,2006,2012,구자경,,181554,2012,179419,915624,,https://mathedu.dongguk.ac.kr/HOME/mathedu/sub.htm?nav_code=mat1589161324,Some studies on Klein forms and Eisenstein series,
오덕순,Duk-Soon Oh,202003,충남대학교 수학과,1998,,,,,,2011,178042,1011821,d2C_Y54AAAAJ,https://sites.google.com/view/duksoonoh,Domain Decomposition Methods for Raviart-Thomas Vector Fields,
오성진,Sung-Jin Oh,201909,UC Berkeley 수학과 (미국),2006,,,,,,2013,273323,1060366,,https://math.berkeley.edu/~sjoh/,Finite energy global well-posedness of the (3+1)-dimensional Yang-Mills equations using a Yang-Mills heat flow gauge,
오수호,Suho Oh,201408,Texas State University 수학과 (미국),2001,,,,,,2011,168024,850016,,https://faculty.txst.edu/profile/1922575,Combinatorics related to the Totally Nonnegative Grassmannian,
오승상,Seungsang Oh,,고려대학교 수학과,1988,,,,,,1996,45859,609855,x87uE4oAAAAJ,https://datascience.korea.ac.kr/ds/intro/math_fulltime_faculty.do?mode=view&articleNo=251913&article.offset=0&articleLimit=10,Exceptional Manifolds after Dehn Filling,
오재린,Jaelynn Oh,201308,"University of Utah, David Eccles School of Business (미국)",2000,,,,,,2014,,,6PSsQSkAAAAJ,https://faculty.utah.edu/u0917183-JAELYNN_OH/hm/index.hml,,
오정석,Jeongseok Oh,202403,서울대학교 수리과학부,2005,,2017,서동엽,,241910,2017,280220,1281147,0VOzmFEAAAAJ,https://sites.google.com/view/jeongseokoh/,Quasimap theory and its applications to mirror symmetry,
오종철,Jong Chul Oh,,군산대학교 수학과,,1987,1995,김병천,,41774,1995,,608146,,https://www.kunsan.ac.kr/math/index.kunsan?menuCd=DOM_000007102001000000,Studies on choosing the bandwidth in a kernel regression estimation,
오준호,Junho Oh,202203,한국외국어대학교 경영대학,2006,,,,,,,,,,https://builder.hufs.ac.kr/user/indexSub.action?codyMenuSeq=136419507&siteId=hufsbizz&menuType=T&uId=3&sortChar=A&linkUrl=3_list135430760&dum=dum&boardId=136418948&page=1&command=albumView&boardSeq=160417913&categoryDepth=&search=오준호&column=title,,
유병훈,Byeong Hoon Yoo,,안동대학교 수학교육과,,1986,1994,권길헌,,41766,1994,,327103,,https://mathedu.andong.ac.kr/module/prof/list.php?mid=/introduce/professor&prcode=professor,Characterizations of orthogonal polynomials satisfying differential equations,
유상현,Sanghyeon Yu,201909,고려대학교 수학과,,2009,2015,임미경,,206324,2015,,959778,rniqBGQAAAAJ,https://sites.google.com/site/shyu85/,Analysis of stress concentration and plasmon resonance,
윤동성,Dong Sung Yoon,201809,부산대학교 수학교육과,2002,2006,2013,구자경,,197739,2013,179379,950306,,https://sites.google.com/site/mathdsyoon,Construction of class fields over certain CM fields,
윤병인,Beong In Yun,,군산대학교 통계컴퓨터과학과,1986,1990,1996,최우진,,41784,1996,154813,607578,mIGGm8MAAAAJ,https://www.kunsan.ac.kr/scs/index.kunsan?menuCd=DOM_000007202000000000,Analytic function approach and numerical boundary integral method to the elasticity,
윤석민,Sukmin Yoon,202402,한양대학교 인공지능학과,2012,,,,,,,,,fQcZ_hQAAAAJ,https://sites.google.com/view/sukmin-yun,,
윤석훈,Seokhoon Yun,,수원대학교 데이터과학부 [2020년 별세],,1983,,,,,1994,47508,617794,,http://www.kss.or.kr/bbs/board.php?bo_table=familyEvent&wr_id=295&sst=wr_hit&sod=asc&sop=and&page=4,Extremes and Threshold Exceedances in Higher Order Markov Chains with Applications to Ground-Level Ozone,
윤아람,Aaram Yun,201903,이화여대학교 사이버보안학과,1991,,,,,,2001,59884,759278,WyIVD6UAAAAJ,http://www.ewha.kr/ewha/academics/eltec-engineering-prof.do?mode=view&pId=rou3lVdUg9mb7qvocGX9aA==,Discrete Subgroups of the Special Linear Group with Thin Limit Sets,
윤정록,Jeong-Rock Yoon,,"Clemson University, School of Mathematical and Statistical Sciences (미국)",,1993,2001,최우진,,197751,2001,156601,638022,,http://jryoon.people.clemson.edu/,"Inverse problems for reconstructive imaging of inhomogeneities inside the body : mathematical theory, numerical algorithms, and biomedical applications",
윤지희,Ji Hee Yoon,202207,University College London 경제학과 (영국),2002,2006,2011,최우진,,41956,2011,,940870,,https://sites.google.com/site/jiyoonmath/home,Financial derivative pricing under stochastic market environments,
윤창욱,Changwook Yoon,202103,충남대학교 수학과,,2008,2015,김용정,,206323,2015,,1100397,mXQbr_4AAAAJ,https://mathedu.cnu.ac.kr/mathedu/intro/faculty01.do?mode=view&key=LZStrEwBmEZxEDYA4g%20&pager.offset=0&pagerLimit=10,Mathematical understanding of biological diffusion,
이광희,Kwang Hee Lee,202406,금오공과대학교 컴퓨터소프트웨어공학과,2009,,,,,,2023,,,TwbFnVYAAAAJ,https://kwangheeya.github.io,,
이경섭,Kyungsub Lee,201509,영남대학교 통계학과,2001,2006,2012,최건호,,181556,2012,194288,1078484,ucjucwwAAAAJ,https://sites.google.com/view/ksublee,GARCH intensity model and new methods of option pricing,
이경현,Kyung Hyune Rhee,,부경대학교 IT융합응용공학과,,1983,1992,최봉대,,41752,1992,,,,https://cms.pknu.ac.kr/itcae/view.do?no=9560&viewType=view&idx=1836,M/G/1 retrial queueing system and its applications to the CSMA/CD protocol,
이계선,Gye-Seon Lee,202203,서울대학교 수리과학부,1998,2002,2010,최서영,,41945,2010,167751,832440,,http://www.math.snu.ac.kr/~gyeseonlee/,Projective deformations of hyperbolic coxeter 3-orbifolds,
이남길,Namgil Lee,201703,강원대학교 정보통계학과,2000,2004,2013,김성호,,181551,2013,209262,930304,,https://sites.google.com/site/namgil,Bayesian approach to shrinkage estimation for large scale vector autoregressive models,
이덕균,Dokkyun Yi,201503,대구대학교 자유전공학부,,1998,2005,이성연,,41887,2005,,769638,,https://slac.daegu.ac.kr/hakgwa_home/slac/sub.php?menu=page&menu_id=1036,Research on mathematical modelling in image processing,
이동원,Dong Won Lee,,경북대학교 수학교육과,1986,1990,1996,권길헌,,41785,1996,,357717,,https://home.knu.ac.kr/HOME/mathedu/sub.htm?nav_code=mat1623140750,Differential equations having orthogonal polynomial solutions,
이민기,Min-Gi Lee,201809,경북대학교 수학과,1999,2007,2014,김용정,,197747,2014,,1090007,SSZ7EjEAAAAJ,https://cebumactan.github.io/ming-lee/,Well-posedness in anisotropic conductivity reconstruction,
이민혁,MinHyuk Lee,202009,부산대학교 경영학과,2009,,,,,,2018,,,loxvM7YAAAAJ,https://biz.pusan.ac.kr/biz/52294/subview.do?enc=Zm5jdDF8QEB8JTJGcG51UHJvZmwlMkZiaXolMkYxNzg5JTJGMTg3MzclMkZhcnRjbFZpZXcuZG8lM0ZmaW5kVHlwZSUzRCUyNmZpbmRXb3JkJTNEJTI2cGFnZSUzRDElMjY=,,
이병국,Byung Gook Lee,1995,동서대학교 컴퓨터공학과,,1987,1993,김병천,,41764,1993,,337620,6ZGFa8YAAAAJ,http://kowon.dongseo.ac.kr/~lbg/,A data based algorithm for choosing the bandwidth in the nonparametric estimation,
이상엽,Sangyop Lee,200803,중앙대학교 수학과,1990,1994,2001,진교택,,41842,2001,51673,696815,,http://cau.ac.kr/~sylee/,Dehn fillings and small surfaces,
이상진,Sang-Jin Lee,200309,건국대학교 수학과,1988,1992,2000,고기형,,41820,2000,51670,604136,iS-5jSoAAAAJ,https://sites.google.com/view/sangjin,Algorithmic solutions to decision problems in the braid groups,
이승규,Seunggyu Lee,202103,고려대학교 응용수리과학부,2007,,,,,,2016,,1038751,U-HiuG4AAAAJ,https://sites.google.com/view/sglee,,
이승진,Seung Jin Lee,201703,서울대학교 수리과학부,2005,2007,,,,,2013,175854,1010614,,https://sites.google.com/site/lsjin1986/seung-jin-lees-hompage,Centrally symmetric polytopes with many faces,
이애자,Ae Ja Yee,200308,The Pennsylvania State University 수학과 (미국),,1993,2000,김동수,,41824,2000,115140,650910,,https://science.psu.edu/math/people/auy2,Combinatorial interpretation of lecture hall partitions,
이언경,Eon-Kyung Lee,,세종대학교 수학통계학부,1988,1992,2001,한상근,,41838,2001,137292,361936,,http://home.sejong.ac.kr/~eonkyung/,A study of provably secure pseudo-random generator and hard-core predicate,
이영주,Young Joo Lee,200509,전남대학교 수학과,,1989,1994,최부림,,41767,1994,,336959,,https://sites.google.com/view/leeyjhome/,Some contributions to Toeplitz operators on the Bergman spaces,
이영호,Youngho Lee,200909,목포대학교 컴퓨터공학과,1995,,,,,,2008,,,je6DowQAAAAJ,https://uvr.ce.mokpo.ac.kr/members,,
이완석,Wanseok Lee,201403,부경대학교 응용수학과,,2002,2009,곽시종,,41920,2009,181212,929350,,https://math.pknu.ac.kr/math/318?action=view&no=19401121,On projective varieties of almost minimal degree,
이용완,Yong Wan Lee,,안동대학교 수학교육과 [명예교수],,,1995,최봉대,,41772,1995,,360664,,https://mathedu.andong.ac.kr/module/prof/list.php?mid=/introduce/professor2&prcode=professor2,On the retrial queueing systems,
이용훈,Yong Hun Lee,,전북대학교 수학과,,1987,1996,김홍오,김상동,41787,1996,,615879,,https://math.jbnu.ac.kr/math/10958/subview.do?enc=Zm5jdDF8QEB8JTJGamJudVByb2ZsJTJGbWF0aCUyRjQyJTJGMTc1JTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZmaW5kVHlwZSUzRCUyNmZpbmRXb3JkJTNEJTI2,Finite difference preconditioning cubic spline collocation method,
이유태,Yutae Lee,200103,동의대학교 정보통신공학과,1988,1992,1997,최봉대,,41792,1997,,629149,,http://hyomin.deu.ac.kr/~ylee/,Priority queueing systems and its applications to ATM networks,
이은정,Eunjeong Lee,202203,충북대학교 수학과,2005,2009,2018,서동엽,,264940,2018,265979,1128774,uKHWKYEAAAAJ,https://sites.google.com/view/eunjeonglee/,Topology and geometry of flag Bott-Samelson varieties and Bott towers,
이은주,Eunju Lee,202408,Louisiana State University 경제학과,2010,,,,,,,,,,https://sites.google.com/view/eunju-lee,,
이응현,Eunghyun Lee,201508,Nazarbayev University 수학과 (카자흐스탄),,2002,,,,,2011,156295,849051,Bk-6Hx8AAAAJ,https://sites.google.com/a/nu.edu.kz/eunghyun-lee-s-homepage/,Bethe Ansatz Solvable Interacting Particle Systems on Z,
이일빈,Ilbin Lee,201707,"University of Alberta, School of Business (캐나다)",2000,,,,,,2015,211845,1064242,pK-t_RUAAAAJ,https://sites.google.com/site/ilbinleewebpage/,Analysis and Simplex-type Algorithms for Countably Infinite Linear Programming Models of Markov Decision Processes,
이장택,Jang Taek Lee,,단국대학교 응용통계학과,,1983,1988,김병천,,41754,1988,,236904,,https://cms.dankook.ac.kr/web/dkustat/-4?p_p_id=DeptInfo_WAR_empInfoportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_count=1&_DeptInfo_WAR_empInfoportlet_empId=PYNSHdYxOeBpFgw5DOl8ug%3D%3D&_DeptInfo_WAR_empInfoportlet_action=view_message,Estimation of variance components for mixed models with cell means,
이재람,Jaeram Lee,202403,한국외국어대학교 경영학부,2006,,,,,,2015,,,pcqUvjYAAAAJ,https://biz.hufs.ac.kr/biz/7853/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZmwlMkZiaXolMkY0MTglMkY0NDIxJTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2c3JjaFdyZCUzRCUyNg%3D%3D,,
이재우,Jaewoo Lee,,CUNY BMCC 수학과 (미국),1988,,,,,,2006,99826,902328,,https://www.bmcc.cuny.edu/faculty/jaewoo-lee/,,
이재헌,Jaeheon Lee,2004,중앙대학교 응용통계학과,,,1994,김병천,,41771,1994,,350490,,https://sites.google.com/view/spm-lab/professor,A simple and improved approximation method for the characteristics of sequential tests,
이정근,Jeong-Keun Lee,,선문대학교 산업안전경영공학과,,1984,1992,김문언,권길헌,41750,1992,,,,https://ie.sunmoon.ac.kr/ie/ad/pp/profsrintrcnPage.do?mi=40374,Linear functionals on space of polynomials and their application to semiclassical orthogonal polynomials,
이정욱,Junguk Lee,202303,창원대학교 수학과,2005,,,,,,2016,,1099787,,https://sites.google.com/site/leejunguk0323/home,,
이정훈,Jung-Hoon Lee,,전북대학교 수학과,1994,1998,2005,진교택,,41884,2005,119212,696063,,https://sites.google.com/view/junghoon123,Heegaard splittings of knot and link complements,
